FrameID,Seconds
0,0.00
6,0.24
12,0.48
18,0.72
24,0.96
30,1.20
36,1.44
42,1.68
48,1.92
54,2.16
78,3.12
90,3.60
96,3.84
102,4.08
108,4.32
120,4.80
126,5.04
138,5.52
168,6.72
228,9.12
276,11.04
324,12.96
330,13.20
336,13.44
342,13.68
348,13.92
354,14.16
360,14.40
366,14.64
372,14.88
378,15.12
390,15.60
396,15.84
402,16.08
426,17.04
456,18.24
480,19.20
486,19.44
516,20.64
522,20.88
528,21.12
534,21.36
540,21.60
546,21.84
552,22.08
558,22.32
564,22.56
570,22.80
576,23.04
582,23.28
588,23.52
594,23.76
600,24.00
606,24.24
612,24.48
618,24.72
624,24.96
630,25.20
636,25.44
642,25.68
648,25.92
666,26.64
690,27.60
708,28.32
726,29.04
738,29.52
756,30.24
768,30.72
774,30.96
876,35.04
906,36.24
912,36.48
918,36.72
924,36.96
930,37.20
936,37.44
942,37.68
948,37.92
966,38.64
1008,40.32
1068,42.72
1182,47.28
1254,50.16
1350,54.00
1452,58.08
1470,58.80
1500,60.00
1524,60.96
1548,61.92
1578,63.12
1596,63.84
1608,64.32
1632,65.28
1650,66.00
1656,66.24
1668,66.72
1686,67.44
1698,67.92
1728,69.12
1740,69.60
1746,69.84
1758,70.32
1806,72.24
1818,72.72
1824,72.96
1836,73.44
1848,73.92
1854,74.16
1866,74.64
1872,74.88
1884,75.36
1896,75.84
1914,76.56
1920,76.80
1974,78.96
2028,81.12
2076,83.04
2082,83.28
2124,84.96
2148,85.92
2220,88.80
2286,91.44
2346,93.84
2502,100.08
2508,100.32
2544,101.76
2568,102.72
2592,103.68
2622,104.88
2628,105.12
2634,105.36
2640,105.60
2658,106.32
2664,106.56
2724,108.96
2742,109.68
2754,110.16
2778,111.12
2784,111.36
2796,111.84
2820,112.80
2850,114.00
2904,116.16
2916,116.64
2982,119.28
3024,120.96
3066,122.64
3078,123.12
3084,123.36
3096,123.84
3108,124.32
3126,125.04
3138,125.52
3516,140.64
3570,142.80
3630,145.20
3684,147.36
3732,149.28
3786,151.44
3804,152.16
3816,152.64
3840,153.60
3846,153.84
3870,154.80
3882,155.28
3888,155.52
3894,155.76
3912,156.48
3936,157.44
4002,160.08
4056,162.24
4068,162.72
4086,163.44
4098,163.92
4116,164.64
