FrameID,Seconds
0,0.00
6,0.24
12,0.48
18,0.72
24,0.96
36,1.44
42,1.68
48,1.92
54,2.16
60,2.40
66,2.64
72,2.88
84,3.36
90,3.60
96,3.84
102,4.08
108,4.32
120,4.80
186,7.44
258,10.32
312,12.48
318,12.72
324,12.96
330,13.20
336,13.44
342,13.68
348,13.92
354,14.16
360,14.40
366,14.64
378,15.12
384,15.36
390,15.60
402,16.08
432,17.28
486,19.44
492,19.68
498,19.92
504,20.16
510,20.40
522,20.88
528,21.12
570,22.80
606,24.24
618,24.72
642,25.68
648,25.92
660,26.40
678,27.12
684,27.36
720,28.80
732,29.28
738,29.52
744,29.76
762,30.48
792,31.68
804,32.16
816,32.64
828,33.12
834,33.36
840,33.60
846,33.84
870,34.80
876,35.04
882,35.28
888,35.52
894,35.76
900,36.00
906,36.24
912,36.48
930,37.20
936,37.44
966,38.64
1092,43.68
1104,44.16
1110,44.40
1116,44.64
1122,44.88
1128,45.12
1134,45.36
1140,45.60
1146,45.84
1152,46.08
1158,46.32
1170,46.80
1332,53.28
1362,54.48
1404,56.16
1410,56.40
1446,57.84
1458,58.32
1464,58.56
1470,58.80
1488,59.52
1494,59.76
1506,60.24
1536,61.44
1572,62.88
1602,64.08
1650,66.00
1680,67.20
1704,68.16
1728,69.12
1746,69.84
1752,70.08
1758,70.32
1788,71.52
1806,72.24
1812,72.48
1860,74.40
1878,75.12
1896,75.84
1914,76.56
1944,77.76
1962,78.48
1986,79.44
2016,80.64
2106,84.24
2130,85.20
2136,85.44
2166,86.64
2220,88.80
2226,89.04
2232,89.28
2244,89.76
2250,90.00
2256,90.24
2262,90.48
2268,90.72
2274,90.96
2280,91.20
2292,91.68
2304,92.16
2310,92.40
2358,94.32
2364,94.56
2412,96.48
2418,96.72
2430,97.20
2442,97.68
2460,98.40
2484,99.36
2496,99.84
2502,100.08
2514,100.56
2520,100.80
2634,105.36
2688,107.52
2718,108.72
2730,109.20
2742,109.68
2802,112.08
3024,120.96
3150,126.00
3192,127.68
3198,127.92
3252,130.08
3270,130.80
3378,135.12
3384,135.36
3390,135.60
3396,135.84
3402,136.08
3408,136.32
3414,136.56
3420,136.80
3426,137.04
3432,137.28
3438,137.52
3444,137.76
3450,138.00
3456,138.24
3462,138.48
3468,138.72
3474,138.96
