FrameID,Seconds
0,0.00
6,0.24
12,0.48
18,0.72
24,0.96
36,1.44
42,1.68
48,1.92
60,2.40
72,2.88
78,3.12
90,3.60
102,4.08
114,4.56
132,5.28
144,5.76
264,10.56
366,14.64
372,14.88
378,15.12
384,15.36
390,15.60
396,15.84
402,16.08
408,16.32
414,16.56
420,16.80
432,17.28
456,18.24
486,19.44
498,19.92
516,20.64
522,20.88
552,22.08
558,22.32
570,22.80
600,24.00
606,24.24
618,24.72
630,25.20
648,25.92
672,26.88
684,27.36
708,28.32
738,29.52
762,30.48
780,31.20
798,31.92
804,32.16
810,32.40
828,33.12
852,34.08
864,34.56
870,34.80
876,35.04
882,35.28
894,35.76
906,36.24
912,36.48
936,37.44
942,37.68
948,37.92
954,38.16
960,38.40
966,38.64
972,38.88
978,39.12
984,39.36
990,39.60
996,39.84
1416,56.64
1464,58.56
1506,60.24
1572,62.88
1584,63.36
1608,64.32
1614,64.56
1632,65.28
1692,67.68
1740,69.60
1746,69.84
1794,71.76
1848,73.92
1896,75.84
1926,77.04
1938,77.52
1956,78.24
1962,78.48
1968,78.72
1980,79.20
1986,79.44
1998,79.92
2004,80.16
2016,80.64
2046,81.84
2058,82.32
2076,83.04
2088,83.52
2100,84.00
2106,84.24
2112,84.48
2118,84.72
2130,85.20
2136,85.44
2142,85.68
2178,87.12
2196,87.84
2208,88.32
2214,88.56
2220,88.80
2226,89.04
2232,89.28
2244,89.76
2250,90.00
2256,90.24
2262,90.48
2268,90.72
2274,90.96
2298,91.92
2328,93.12
2334,93.36
2358,94.32
2364,94.56
2382,95.28
2388,95.52
2400,96.00
2406,96.24
2412,96.48
2418,96.72
2424,96.96
2430,97.20
2454,98.16
2466,98.64
2472,98.88
2484,99.36
2514,100.56
2544,101.76
2580,103.20
2616,104.64
2634,105.36
2646,105.84
2970,118.80
2982,119.28
2988,119.52
3000,120.00
3006,120.24
3012,120.48
3018,120.72
3024,120.96
3030,121.20
3090,123.60
3324,132.96
3336,133.44
3342,133.68
3348,133.92
3354,134.16
3360,134.40
3366,134.64
3372,134.88
3378,135.12
3384,135.36
3390,135.60
3396,135.84
3402,136.08
3408,136.32
3414,136.56
3420,136.80
3426,137.04
3432,137.28
3438,137.52
3492,139.68
3498,139.92
3510,140.40
3522,140.88
