FrameID,Seconds
0,0.00
6,0.24
12,0.48
18,0.72
24,0.96
30,1.20
36,1.44
42,1.68
48,1.92
60,2.40
72,2.88
78,3.12
84,3.36
90,3.60
102,4.08
108,4.32
126,5.04
144,5.76
276,11.04
282,11.28
330,13.20
336,13.44
342,13.68
348,13.92
354,14.16
360,14.40
366,14.64
372,14.88
378,15.12
384,15.36
396,15.84
402,16.08
408,16.32
414,16.56
420,16.80
426,17.04
444,17.76
450,18.00
456,18.24
462,18.48
468,18.72
474,18.96
480,19.20
486,19.44
522,20.88
528,21.12
534,21.36
546,21.84
558,22.32
564,22.56
570,22.80
600,24.00
612,24.48
618,24.72
630,25.20
636,25.44
642,25.68
648,25.92
654,26.16
660,26.40
672,26.88
678,27.12
690,27.60
696,27.84
702,28.08
708,28.32
714,28.56
726,29.04
732,29.28
738,29.52
762,30.48
768,30.72
774,30.96
780,31.20
786,31.44
792,31.68
798,31.92
816,32.64
822,32.88
864,34.56
870,34.80
876,35.04
882,35.28
888,35.52
900,36.00
918,36.72
924,36.96
930,37.20
936,37.44
972,38.88
1266,50.64
1332,53.28
1350,54.00
1392,55.68
1452,58.08
1476,59.04
1512,60.48
1584,63.36
1620,64.80
1626,65.04
1632,65.28
1644,65.76
1680,67.20
1770,70.80
1776,71.04
1800,72.00
1806,72.24
1866,74.64
1884,75.36
1890,75.60
1896,75.84
1932,77.28
1938,77.52
1998,79.92
2022,80.88
2034,81.36
2046,81.84
2082,83.28
2094,83.76
2118,84.72
2136,85.44
2148,85.92
2154,86.16
2184,87.36
2226,89.04
2262,90.48
2322,92.88
2346,93.84
2352,94.08
2358,94.32
2364,94.56
2370,94.80
2376,95.04
2382,95.28
2388,95.52
2418,96.72
2424,96.96
2430,97.20
2478,99.12
2484,99.36
2490,99.60
2496,99.84
2502,100.08
2508,100.32
2514,100.56
2532,101.28
2538,101.52
2544,101.76
2550,102.00
2562,102.48
2574,102.96
2580,103.20
2586,103.44
2592,103.68
2598,103.92
2604,104.16
2610,104.40
2622,104.88
2652,106.08
2670,106.80
2790,111.60
2796,111.84
2802,112.08
2808,112.32
2814,112.56
2820,112.80
2826,113.04
2832,113.28
2850,114.00
2880,115.20
2886,115.44
2898,115.92
2910,116.40
2928,117.12
2940,117.60
2946,117.84
2952,118.08
